9433.74,Total functional habitat
23770.21,Maximum habitat
10.00,Channel width threshold
0.0,Slope threshold
0,Omit tidal reaches
UNIQUE_ID,type,catchmentID,habitat_sqkm,habitatSegment_sqkm,functional_habitatSegment_sqkm,PassageToHabitat,Decision,HUC6_location,HUC10_location
3762140,outlet,3762140.0,3719.958966655115,3786.947861802492,3786.947861802492,1.0,outlet, , 
3717030,outlet,3717030.0,1735.5269550690668,1734.3689012491172,1734.3689012491172,1.0,outlet,Saguenay,Saguenay - Mouth
2022660,outlet,2022660.0,894.2022658699051,894.2022658699051,894.2022658699051,1.0,outlet,Saint John and Southern Bay of Fundy (N.B.),Lower Saint John - Kennebecasis
3602600,outlet,3602600.0,536.3495817541535,536.3495817541535,536.3495817541535,1.0,outlet,Gulf of St. Lawrence - Romaine,Romaine
3598680,outlet,3598680.0,403.3298177678657,403.3298177678657,403.3298177678657,1.0,outlet,???,???
3624120,outlet,3624120.0,313.27004426850317,313.27004426850317,313.27004426850317,1.0,outlet,Gulf of St. Lawrence - Natashquan,Natashquan
3621820,outlet,3621820.0,290.4711161855286,290.4711161855286,290.4711161855286,1.0,outlet,Moisie and St. Lawrence Estuary,Moisie - Coast
3678720,outlet,3678720.0,114.08090502597457,108.71108442494224,108.71108442494224,1.0,outlet,Northern Newfoundland,Humber - Lower
3666440,outlet,3666440.0,1271.5777712690847,102.37102627830984,102.37102627830984,1.0,outlet,Manicouagan and aux Outardes,Lower Manicouagan
2000500,outlet,2000500.0,92.5252920471816,92.5252920471816,92.5252920471816,1.0,outlet,Gulf of St. Lawrence and Northern Bay of Fundy (N.B.),Miramichi - Mouth
3619700,outlet,3619700.0,83.01033460639326,83.01033460639326,83.01033460639326,1.0,outlet,Gulf of St. Lawrence - Romaine,Magpie
3662420,outlet,3662420.0,78.74037313546017,78.74037313546017,78.74037313546017,1.0,outlet,Northern Newfoundland,Gander
3675010,outlet,3675010.0,72.813112784279,72.813112784279,72.813112784279,1.0,outlet,Northern Newfoundland,Exploits
1996590,outlet,1996590.0,69.45779384396725,69.45779384396725,69.45779384396725,1.0,outlet,Gulf of St. Lawrence and Northern Bay of Fundy (N.B.),Lower Restigouche - Nouvelle
3618910,outlet,3618910.0,61.249093251650585,61.249093251650585,61.249093251650585,1.0,outlet,Gulf of St. Lawrence - Romaine,Magpie
3621880,outlet,3621880.0,60.58146376437993,60.58146376437993,60.58146376437993,1.0,outlet,Gulf of St. Lawrence - Natashquan,Aguanus
3679430,outlet,3679430.0,56.561348294948864,56.561348294948864,56.561348294948864,1.0,outlet,Betsiamites - Coast,Lower Betsiamites
3554220,outlet,3554220.0,55.601034132081494,55.601034132081494,55.601034132081494,1.0,outlet,???,St-Augustin - Coast
3553160,outlet,3553160.0,38.298026662310626,38.298026662310626,38.298026662310626,1.0,outlet,???,Saint-Paul - Coast
3622230,outlet,3622230.0,37.70567534274321,37.70567534274321,37.70567534274321,1.0,outlet,Gulf of St. Lawrence - Natashquan,Olomane
3622170,outlet,3622170.0,22.420129394030905,22.420129394030905,22.420129394030905,1.0,outlet,Gulf of St. Lawrence - Natashquan,Olomane
3743150,outlet,3743150.0,18.095619470823063,18.095619470823063,18.095619470823063,1.0,outlet,Southern Newfoundland,White Bear Bay
3616000,outlet,3616000.0,17.33917876312868,17.33917876312868,17.33917876312868,1.0,outlet,Gulf of St. Lawrence - Natashquan,Olomane
3619230,outlet,3619230.0,16.55503192337035,16.55503192337035,16.55503192337035,1.0,outlet, , 
3549810,outlet,3549810.0,15.915977593183875,15.915977593183875,15.915977593183875,1.0,outlet,???,Strait of Belle Isle - North Shore
3669110,outlet,3669110.0,378.10180942894453,15.631369427003253,15.631369427003253,1.0,outlet,Manicouagan and aux Outardes,Lower aux Outardes
3629090,outlet,3629090.0,15.403134279340422,15.403134279340422,15.403134279340422,1.0,outlet, , 
2042560,outlet,2042560.0,12.527477444860281,12.527477444860281,12.527477444860281,1.0,outlet,Southeastern Atlantic Ocean (N.S.),Tusket
2022210,outlet,2022210.0,12.249193175994158,12.249193175994158,12.249193175994158,1.0,outlet,Bay of Fundy and Gulf of St. Lawrence (N.S.),Shubenacadie
